latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.399998,-70.6,678.0,-14400,America/Santiago,GMT-4

time,pm10 (μg/m³),pm2_5 (μg/m³)
2026-07-01T00:00,23.1,23.0
2026-07-01T01:00,19.8,19.7
2026-07-01T02:00,16.2,16.1
2026-07-01T03:00,12.9,12.8
2026-07-01T04:00,9.9,9.7
2026-07-01T05:00,7.0,6.8
2026-07-01T06:00,5.4,5.2
2026-07-01T07:00,5.2,4.9
2026-07-01T08:00,0.0,0.0
2026-07-01T09:00,2.8,2.8
2026-07-01T10:00,3.7,3.6
2026-07-01T11:00,5.5,5.3
2026-07-01T12:00,13.7,13.5
2026-07-01T13:00,22.4,22.3
2026-07-01T14:00,29.5,29.5
2026-07-01T15:00,33.8,33.8
2026-07-01T16:00,36.0,35.9
2026-07-01T17:00,38.6,38.5
2026-07-01T18:00,42.7,42.7
2026-07-01T19:00,38.0,38.0
2026-07-01T20:00,45.5,44.8
2026-07-01T21:00,38.5,38.0
2026-07-01T22:00,31.5,30.0
2026-07-01T23:00,25.4,23.6
2026-07-02T00:00,19.3,17.3
2026-07-02T01:00,12.4,10.4
2026-07-02T02:00,8.1,6.1
2026-07-02T03:00,6.9,4.9
2026-07-02T04:00,7.3,5.3
2026-07-02T05:00,6.8,5.0
2026-07-02T06:00,6.4,4.9
2026-07-02T07:00,6.9,5.6
2026-07-02T08:00,1.8,1.8
2026-07-02T09:00,10.2,10.2
2026-07-02T10:00,10.9,10.8
2026-07-02T11:00,3.2,3.1
2026-07-02T12:00,4.7,4.4
2026-07-02T13:00,8.6,8.4
2026-07-02T14:00,14.4,14.3
2026-07-02T15:00,20.0,20.0
2026-07-02T16:00,24.7,24.6
2026-07-02T17:00,29.1,29.0
2026-07-02T18:00,34.8,34.7
2026-07-02T19:00,38.0,38.0
2026-07-02T20:00,39.5,38.2
2026-07-02T21:00,38.2,36.9
2026-07-02T22:00,35.2,33.6
2026-07-02T23:00,31.9,30.3
2026-07-03T00:00,28.1,26.4
2026-07-03T01:00,24.0,22.4
2026-07-03T02:00,20.8,19.2
2026-07-03T03:00,17.6,16.1
2026-07-03T04:00,13.9,12.4
2026-07-03T05:00,9.7,8.3
2026-07-03T06:00,8.3,6.8
2026-07-03T07:00,7.7,6.2
2026-07-03T08:00,2.0,1.4
2026-07-03T09:00,5.6,4.8
2026-07-03T10:00,6.1,5.4
2026-07-03T11:00,4.8,4.0
2026-07-03T12:00,9.8,9.1
2026-07-03T13:00,19.2,18.7
2026-07-03T14:00,28.5,28.2
2026-07-03T15:00,36.3,36.1
