latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.5,-70.6,549.0,-14400,America/Santiago,GMT-4

time,pm10 (μg/m³),pm2_5 (μg/m³)
2026-07-01T00:00,96.2,93.6
2026-07-01T01:00,90.6,88.2
2026-07-01T02:00,85.2,83.1
2026-07-01T03:00,85.2,83.4
2026-07-01T04:00,87.3,85.4
2026-07-01T05:00,77.1,75.4
2026-07-01T06:00,72.9,70.8
2026-07-01T07:00,70.5,68.2
2026-07-01T08:00,57.7,56.2
2026-07-01T09:00,72.4,70.5
2026-07-01T10:00,74.7,71.9
2026-07-01T11:00,73.6,71.2
2026-07-01T12:00,72.9,71.5
2026-07-01T13:00,72.9,72.9
2026-07-01T14:00,66.8,66.6
2026-07-01T15:00,62.4,62.2
2026-07-01T16:00,60.1,59.8
2026-07-01T17:00,64.5,64.3
2026-07-01T18:00,79.4,79.2
2026-07-01T19:00,105.5,105.2
2026-07-01T20:00,113.9,113.9
2026-07-01T21:00,103.4,103.4
2026-07-01T22:00,108.3,108.3
2026-07-01T23:00,112.7,112.7
2026-07-02T00:00,112.5,112.2
2026-07-02T01:00,110.8,110.6
2026-07-02T02:00,107.6,107.6
2026-07-02T03:00,102.9,102.9
2026-07-02T04:00,99.0,99.0
2026-07-02T05:00,96.9,96.6
2026-07-02T06:00,96.9,96.9
2026-07-02T07:00,99.7,99.7
2026-07-02T08:00,61.0,61.0
2026-07-02T09:00,73.3,72.6
2026-07-02T10:00,79.6,78.7
2026-07-02T11:00,86.6,86.4
2026-07-02T12:00,85.0,84.8
2026-07-02T13:00,78.5,78.2
2026-07-02T14:00,72.2,71.9
2026-07-02T15:00,66.8,66.6
2026-07-02T16:00,64.0,64.0
2026-07-02T17:00,67.3,67.1
2026-07-02T18:00,82.4,82.2
2026-07-02T19:00,106.9,106.6
2026-07-02T20:00,132.2,131.3
2026-07-02T21:00,114.8,113.4
2026-07-02T22:00,117.8,115.7
2026-07-02T23:00,118.7,115.5
2026-07-03T00:00,115.0,111.3
2026-07-03T01:00,111.3,107.6
2026-07-03T02:00,114.1,110.1
2026-07-03T03:00,109.9,106.2
2026-07-03T04:00,107.6,103.8
2026-07-03T05:00,102.2,98.5
